"","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","datetime"
"1","1.282","0.000","239.020","5.200","0.000","0.000",18,2007-02-01 06:00:00
"2","1.294","0.000","240.310","5.400","0.000","0.000",17,2007-02-01 06:01:00
"3","1.346","0.000","240.220","5.600","0.000","0.000",18,2007-02-01 06:02:00
"4","1.404","0.104","240.290","5.800","0.000","0.000",18,2007-02-01 06:03:00
"5","1.410","0.108","241.270","5.800","0.000","0.000",17,2007-02-01 06:04:00
"6","1.424","0.116","242.850","5.800","0.000","0.000",19,2007-02-01 06:05:00
"7","1.424","0.118","243.010","5.800","0.000","0.000",18,2007-02-01 06:06:00
"8","1.422","0.118","242.530","5.800","0.000","0.000",18,2007-02-01 06:07:00
"9","1.490","0.132","241.970","6.200","0.000","0.000",18,2007-02-01 06:08:00
"10","1.494","0.130","241.650","6.200","0.000","0.000",18,2007-02-01 06:09:00
"11","1.488","0.128","241.330","6.200","0.000","0.000",17,2007-02-01 06:10:00
"12","1.484","0.128","241.000","6.200","0.000","0.000",18,2007-02-01 06:11:00
"13","1.476","0.126","240.540","6.000","0.000","0.000",18,2007-02-01 06:12:00
"14","1.470","0.122","240.320","6.000","0.000","0.000",18,2007-02-01 06:13:00
"15","0.858","0.112","241.160","4.000","0.000","0.000",6,2007-02-01 06:14:00
"16","0.558","0.118","241.860","2.400","0.000","0.000",0,2007-02-01 06:15:00
"17","0.580","0.128","242.530","2.400","0.000","0.000",0,2007-02-01 06:16:00
"18","0.552","0.112","243.110","2.200","0.000","1.000",0,2007-02-01 06:17:00
"19","0.548","0.110","242.630","2.200","0.000","2.000",0,2007-02-01 06:18:00
"20","0.502","0.110","242.760","2.000","0.000","1.000",0,2007-02-01 06:19:00
"21","0.490","0.114","243.230","2.000","0.000","1.000",0,2007-02-01 06:20:00
"22","0.490","0.114","243.510","2.000","0.000","2.000",0,2007-02-01 06:21:00
"23","1.102","0.106","242.820","5.000","0.000","1.000",8,2007-02-01 06:22:00
"24","1.590","0.098","241.820","6.600","0.000","2.000",18,2007-02-01 06:23:00
"25","1.590","0.102","242.860","6.400","0.000","1.000",19,2007-02-01 06:24:00
"26","1.586","0.102","243.140","6.400","0.000","1.000",18,2007-02-01 06:25:00
"27","1.588","0.104","243.560","6.400","0.000","2.000",18,2007-02-01 06:26:00
"28","1.584","0.104","243.350","6.400","0.000","1.000",18,2007-02-01 06:27:00
"29","1.580","0.102","243.220","6.400","0.000","1.000",19,2007-02-01 06:28:00
"30","1.580","0.104","243.310","6.400","0.000","2.000",18,2007-02-01 06:29:00
"31","1.578","0.104","243.250","6.400","0.000","1.000",18,2007-02-01 06:30:00
"32","1.578","0.104","243.470","6.400","0.000","1.000",18,2007-02-01 06:31:00
"33","1.578","0.104","243.510","6.400","0.000","2.000",18,2007-02-01 06:32:00
"34","1.570","0.102","242.990","6.400","0.000","1.000",18,2007-02-01 06:33:00
"35","1.574","0.104","243.470","6.400","0.000","1.000",18,2007-02-01 06:34:00
"36","1.606","0.128","243.180","6.600","0.000","2.000",19,2007-02-01 06:35:00
"37","2.246","0.228","241.120","9.400","0.000","1.000",17,2007-02-01 06:36:00
"38","2.658","0.224","240.560","11.000","0.000","1.000",18,2007-02-01 06:37:00
"39","4.962","0.204","238.690","22.400","0.000","1.000",18,2007-02-01 06:38:00
"40","6.536","0.188","236.900","27.600","0.000","2.000",17,2007-02-01 06:39:00
"41","5.292","0.202","238.440","22.200","0.000","1.000",17,2007-02-01 06:40:00
"42","5.810","0.208","237.640","24.400","0.000","1.000",18,2007-02-01 06:41:00
"43","5.606","0.262","237.630","23.800","0.000","1.000",17,2007-02-01 06:42:00
"44","4.678","0.310","238.980","19.800","0.000","1.000",17,2007-02-01 06:43:00
"45","3.900","0.380","239.750","16.400","0.000","2.000",18,2007-02-01 06:44:00
"46","3.368","0.322","240.290","14.000","0.000","0.000",18,2007-02-01 06:45:00
"47","3.180","0.270","240.730","13.200","0.000","0.000",18,2007-02-01 06:46:00
"48","3.178","0.266","240.650","13.200","0.000","0.000",17,2007-02-01 06:47:00
"49","3.192","0.268","240.940","13.200","0.000","0.000",18,2007-02-01 06:48:00
"50","3.252","0.268","240.980","13.400","0.000","0.000",18,2007-02-01 06:49:00
"51","3.124","0.160","240.730","13.000","0.000","0.000",18,2007-02-01 06:50:00
"52","2.792","0.122","240.630","11.600","0.000","0.000",17,2007-02-01 06:51:00
"53","2.808","0.124","240.930","11.600","0.000","0.000",18,2007-02-01 06:52:00
"54","2.818","0.126","241.430","11.600","0.000","0.000",18,2007-02-01 06:53:00
"55","2.812","0.126","241.530","11.600","0.000","0.000",18,2007-02-01 06:54:00
"56","2.970","0.122","241.060","12.200","0.000","0.000",18,2007-02-01 06:55:00
"57","3.004","0.118","240.630","12.400","0.000","0.000",18,2007-02-01 06:56:00
"58","2.974","0.118","240.310","12.400","0.000","0.000",17,2007-02-01 06:57:00
"59","2.924","0.000","241.080","12.000","0.000","0.000",18,2007-02-01 06:58:00
"60","2.912","0.000","241.480","12.000","0.000","0.000",18,2007-02-01 06:59:00
"61","2.708","0.000","241.550","11.200","0.000","0.000",18,2007-02-01 07:00:00
"62","3.180","0.000","240.460","13.200","0.000","0.000",18,2007-02-01 07:01:00
"63","3.026","0.000","240.230","12.600","0.000","0.000",17,2007-02-01 07:02:00
"64","2.992","0.000","240.000","12.400","0.000","0.000",18,2007-02-01 07:03:00
"65","2.938","0.000","239.540","12.200","0.000","0.000",17,2007-02-01 07:04:00
"66","2.930","0.000","239.800","12.200","0.000","0.000",18,2007-02-01 07:05:00
"67","2.934","0.000","240.060","12.200","0.000","0.000",18,2007-02-01 07:06:00
"68","2.894","0.000","239.770","12.000","0.000","0.000",17,2007-02-01 07:07:00
"69","2.842","0.000","238.820","11.800","0.000","0.000",18,2007-02-01 07:08:00
"70","2.874","0.000","240.230","11.800","0.000","0.000",18,2007-02-01 07:09:00
"71","2.360","0.000","242.680","9.800","0.000","0.000",18,2007-02-01 07:10:00
"72","2.106","0.000","243.290","8.600","0.000","0.000",18,2007-02-01 07:11:00
"73","2.126","0.000","242.090","8.800","0.000","0.000",18,2007-02-01 07:12:00
"74","2.108","0.000","241.560","8.600","0.000","0.000",18,2007-02-01 07:13:00
"75","2.108","0.000","241.180","8.600","0.000","0.000",17,2007-02-01 07:14:00
"76","2.108","0.000","240.600","8.800","0.000","0.000",18,2007-02-01 07:15:00
"77","2.120","0.000","240.610","8.800","0.000","0.000",18,2007-02-01 07:16:00
"78","2.116","0.000","240.220","8.800","0.000","0.000",18,2007-02-01 07:17:00
"79","2.060","0.000","239.650","8.600","0.000","0.000",17,2007-02-01 07:18:00
"80","2.586","0.000","239.340","10.800","0.000","0.000",18,2007-02-01 07:19:00
"81","2.448","0.094","239.060","10.200","0.000","0.000",17,2007-02-01 07:20:00
"82","2.088","0.102","240.270","8.600","0.000","0.000",18,2007-02-01 07:21:00
"83","2.150","0.092","239.630","9.000","0.000","0.000",18,2007-02-01 07:22:00
"84","2.206","0.090","239.790","9.200","0.000","0.000",17,2007-02-01 07:23:00
"85","2.292","0.180","239.560","9.600","0.000","0.000",18,2007-02-01 07:24:00
"86","2.320","0.220","239.290","9.600","0.000","0.000",17,2007-02-01 07:25:00
"87","2.494","0.212","238.520","10.400","0.000","0.000",18,2007-02-01 07:26:00
"88","2.670","0.214","239.100","11.200","0.000","0.000",17,2007-02-01 07:27:00
"89","3.066","0.212","239.750","12.800","0.000","0.000",18,2007-02-01 07:28:00
"90","2.760","0.214","240.020","11.400","0.000","0.000",18,2007-02-01 07:29:00
"91","3.070","0.222","239.360","12.800","0.000","0.000",17,2007-02-01 07:30:00
"92","3.004","0.162","238.980","12.600","0.000","0.000",18,2007-02-01 07:31:00
"93","3.492","0.114","237.960","14.600","0.000","0.000",17,2007-02-01 07:32:00
"94","3.628","0.114","237.510","15.200","0.000","0.000",17,2007-02-01 07:33:00
"95","3.730","0.114","237.610","15.600","0.000","0.000",18,2007-02-01 07:34:00
"96","4.332","0.228","236.960","18.400","0.000","0.000",17,2007-02-01 07:35:00
"97","3.904","0.108","236.510","16.400","0.000","0.000",17,2007-02-01 07:36:00
"98","3.766","0.110","237.170","15.800","0.000","0.000",17,2007-02-01 07:37:00
"99","5.268","0.102","236.550","23.400","0.000","0.000",17,2007-02-01 07:38:00
"100","7.482","0.000","233.620","32.000","0.000","0.000",17,2007-02-01 07:39:00
"101","5.024","0.000","236.410","21.600","0.000","0.000",17,2007-02-01 07:40:00
"102","3.592","0.000","237.720","15.000","0.000","0.000",18,2007-02-01 07:41:00
"103","4.684","0.000","236.480","19.800","0.000","0.000",17,2007-02-01 07:42:00
"104","4.764","0.000","236.330","20.000","0.000","0.000",17,2007-02-01 07:43:00
"105","3.552","0.000","237.910","14.800","0.000","0.000",17,2007-02-01 07:44:00
"106","3.466","0.000","236.380","14.600","0.000","0.000",17,2007-02-01 07:45:00
"107","3.286","0.000","237.140","13.800","0.000","0.000",18,2007-02-01 07:46:00
"108","3.200","0.000","236.820","13.400","0.000","0.000",17,2007-02-01 07:47:00
"109","3.196","0.000","236.650","13.400","0.000","0.000",17,2007-02-01 07:48:00
"110","3.332","0.000","236.210","14.000","0.000","0.000",17,2007-02-01 07:49:00
"111","3.406","0.166","236.640","14.400","0.000","0.000",17,2007-02-01 07:50:00
"112","3.184","0.154","236.560","13.400","0.000","0.000",17,2007-02-01 07:51:00
"113","2.960","0.146","236.300","12.400","0.000","0.000",18,2007-02-01 07:52:00
"114","2.874","0.086","236.540","12.000","0.000","0.000",17,2007-02-01 07:53:00
"115","2.580","0.000","236.750","10.800","0.000","0.000",17,2007-02-01 07:54:00
"116","2.566","0.000","236.460","10.800","0.000","0.000",17,2007-02-01 07:55:00
"117","2.546","0.000","235.460","10.800","0.000","0.000",17,2007-02-01 07:56:00
"118","2.634","0.046","236.310","11.000","0.000","0.000",17,2007-02-01 07:57:00
"119","2.678","0.102","236.800","11.200","0.000","0.000",17,2007-02-01 07:58:00
"120","2.686","0.100","236.510","11.200","0.000","0.000",18,2007-02-01 07:59:00
"121","2.832","0.220","235.970","12.000","0.000","0.000",17,2007-02-01 08:00:00
"122","2.744","0.194","235.220","11.600","0.000","0.000",17,2007-02-01 08:01:00
"123","2.728","0.196","235.770","11.600","0.000","0.000",17,2007-02-01 08:02:00
"124","2.708","0.192","234.860","11.400","0.000","0.000",17,2007-02-01 08:03:00
"125","2.694","0.190","234.290","11.400","0.000","0.000",16,2007-02-01 08:04:00
"126","2.788","0.186","233.780","11.800","0.000","0.000",17,2007-02-01 08:05:00
"127","2.812","0.188","234.290","12.000","0.000","0.000",17,2007-02-01 08:06:00
"128","2.820","0.200","234.310","12.000","0.000","0.000",17,2007-02-01 08:07:00
"129","2.886","0.214","233.840","12.400","0.000","0.000",17,2007-02-01 08:08:00
"130","4.116","0.194","233.050","17.600","2.000","0.000",16,2007-02-01 08:09:00
"131","2.878","0.200","234.550","12.200","1.000","0.000",17,2007-02-01 08:10:00
"132","2.860","0.196","233.910","12.200","1.000","0.000",17,2007-02-01 08:11:00
"133","2.766","0.198","234.080","11.800","1.000","0.000",17,2007-02-01 08:12:00
"134","2.660","0.170","234.310","11.400","2.000","0.000",17,2007-02-01 08:13:00
"135","2.516","0.000","235.010","10.600","1.000","0.000",17,2007-02-01 08:14:00
"136","2.698","0.174","235.510","11.400","1.000","0.000",17,2007-02-01 08:15:00
"137","2.990","0.186","237.830","12.600","1.000","0.000",17,2007-02-01 08:16:00
"138","2.632","0.080","238.630","11.000","1.000","0.000",17,2007-02-01 08:17:00
"139","2.664","0.000","238.590","11.000","2.000","0.000",18,2007-02-01 08:18:00
"140","2.712","0.000","238.060","11.400","1.000","0.000",17,2007-02-01 08:19:00
"141","2.702","0.000","238.420","11.200","1.000","0.000",18,2007-02-01 08:20:00
"142","2.906","0.000","238.670","12.200","1.000","0.000",17,2007-02-01 08:21:00
"143","3.246","0.000","238.010","13.800","2.000","0.000",18,2007-02-01 08:22:00
"144","2.774","0.000","237.860","11.600","1.000","0.000",17,2007-02-01 08:23:00
"145","2.768","0.000","237.860","11.600","1.000","0.000",17,2007-02-01 08:24:00
"146","2.774","0.000","238.230","11.600","1.000","0.000",18,2007-02-01 08:25:00
"147","2.750","0.000","237.470","11.600","1.000","0.000",17,2007-02-01 08:26:00
"148","2.744","0.000","238.130","11.400","1.000","0.000",17,2007-02-01 08:27:00
"149","2.764","0.000","237.450","11.600","1.000","0.000",18,2007-02-01 08:28:00
"150","4.348","0.000","236.190","18.800","27.000","0.000",17,2007-02-01 08:29:00
"151","4.982","0.000","236.120","21.000","38.000","0.000",17,2007-02-01 08:30:00
